,0
number_of_elements,1.4663304248379383
mean_atomic_mass,29.687829947498212
wtd_mean_atomic_mass,34.012819645634764
gmean_atomic_mass,31.246116508382702
wtd_gmean_atomic_mass,37.34658855093527
entropy_atomic_mass,0.35365784607555345
wtd_entropy_atomic_mass,0.4070676161816635
range_atomic_mass,53.9325474187646
wtd_range_atomic_mass,28.630737987827384
std_atomic_mass,19.66663914446927
wtd_std_atomic_mass,19.726098555270504
mean_fie,86.85486167578846
wtd_mean_fie,143.87859081624183
gmean_fie,77.62637884026371
wtd_gmean_fie,120.21433759554635
entropy_fie,0.36845228996972046
wtd_entropy_fie,0.33287683070675417
range_fie,310.1149914521968
wtd_range_fie,216.48776480302757
std_fie,108.89028028500422
wtd_std_fie,128.20208928670272
mean_atomic_radius,19.792129283995298
wtd_mean_atomic_radius,28.94420192222782
gmean_atomic_radius,21.902012487514224
wtd_gmean_atomic_radius,36.17732659184591
entropy_atomic_radius,0.3619288526345444
wtd_entropy_atomic_radius,0.4101495871667513
range_atomic_radius,67.35799045468859
wtd_range_atomic_radius,36.69920898734069
std_atomic_radius,22.561304745942177
wtd_std_atomic_radius,25.339541386305733
mean_Density,2914.5792829763077
wtd_mean_Density,3329.269782514065
gmean_Density,3787.8954956796665
wtd_gmean_Density,4099.130320549727
entropy_Density,0.3332484330109625
wtd_entropy_Density,0.32159227979822996
range_Density,4081.3778351336155
wtd_range_Density,2567.7449542402237
std_Density,1658.2071125995424
wtd_std_Density,1598.5780053947558
mean_ElectronAffinity,27.665474096122114
wtd_mean_ElectronAffinity,32.36563370310968
gmean_ElectronAffinity,28.829238246106588
wtd_gmean_ElectronAffinity,31.549039426238412
entropy_ElectronAffinity,0.3325748350784079
wtd_entropy_ElectronAffinity,0.2819164218786939
range_ElectronAffinity,59.15940788822863
wtd_range_ElectronAffinity,28.35009294178623
std_ElectronAffinity,21.805197774684736
wtd_std_ElectronAffinity,20.86734190409711
mean_FusionHeat,10.539214843698055
wtd_mean_FusionHeat,13.477420342911733
gmean_FusionHeat,9.493621867391775
wtd_gmean_FusionHeat,12.414574689541505
entropy_FusionHeat,0.3645247621969785
wtd_entropy_FusionHeat,0.3705753351383567
range_FusionHeat,20.063152748856933
wtd_range_FusionHeat,10.842471284579645
std_FusionHeat,8.37237158680887
wtd_std_FusionHeat,7.237640721534734
mean_ThermalConductivity,38.60585030599694
wtd_mean_ThermalConductivity,46.53159755019454
gmean_ThermalConductivity,33.94116589659501
wtd_gmean_ThermalConductivity,41.01580548893479
entropy_ThermalConductivity,0.3143306186066537
wtd_entropy_ThermalConductivity,0.3154671526985041
range_ThermalConductivity,157.29150813534739
wtd_range_ThermalConductivity,43.82852753771167
std_ThermalConductivity,58.616723042959954
wtd_std_ThermalConductivity,63.45022520050527
mean_Valence,1.0494228728160995
wtd_mean_Valence,1.208062022049711
gmean_Valence,1.0528553210783005
wtd_gmean_Valence,1.1931006319700195
entropy_Valence,0.3805781432137588
wtd_entropy_Valence,0.3817468799128834
range_Valence,1.232211796787812
wtd_range_Valence,1.0228566742112213
std_Valence,0.47750533274483214
wtd_std_Valence,0.4517286415144818
critical_temp,33.78963586154082
